Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Brand
Coimbatore,2019,23154,Diesel,Manual,First,23.0,1498.0,98.96,5.0,12.12,11.65,Ford
Mumbai,2014,26856,Petrol,Automatic,First,16.5,1198.0,86.8,5.0,,4.15,Honda
Chennai,2017,67489,Diesel,Manual,First,13.68,2393.0,147.8,7.0,19.37,16.5,Toyota
Bangalore,2008,176000,Diesel,Manual,Second,10.5,2179.0,120.0,8.0,,4.3,Mahindra
Kolkata,2010,18000,Petrol,Manual,First,18.5,1197.0,80.0,5.0,,2.25,Hyundai
Ahmedabad,2014,63003,Diesel,Manual,First,22.32,1582.0,126.32,5.0,,6.75,Hyundai
Chennai,2014,80000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,,9.4,Mahindra
Coimbatore,2014,56658,Diesel,Manual,First,20.64,1498.0,108.5,5.0,12.14,5.39,Volkswagen
Kochi,2019,18592,Diesel,Manual,First,26.59,1248.0,74.0,5.0,,8.51,Maruti
Pune,2010,75695,Petrol,Manual,First,13.7,1368.0,88.8,5.0,,1.85,Tata
Kolkata,2012,82000,Diesel,Manual,Second,22.9,1248.0,74.0,5.0,,2.5,Maruti
Chennai,2013,60000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,,4.75,Volkswagen
Pune,2009,138000,Petrol,Manual,Second,17.0,1497.0,118.0,5.0,,3.5,Honda
Bangalore,2014,67000,Diesel,Manual,First,23.0,1396.0,90.0,5.0,,5.5,Hyundai
Coimbatore,2012,42750,Petrol,Manual,First,17.0,1497.0,118.0,5.0,,6.33,Honda
Kochi,2014,52398,Diesel,Manual,First,25.44,936.0,57.6,5.0,,2.47,Chevrolet
Kochi,2014,36657,Petrol,Manual,First,16.2,995.0,62.1,5.0,,3.3,Chevrolet
Delhi,2011,77000,Diesel,Manual,Second,11.57,2179.0,138.1,7.0,,3.5,Tata
Delhi,2014,85000,Diesel,Automatic,First,11.3,2987.0,254.8,7.0,,38.75,Mercedes-Benz
Pune,2008,112500,Diesel,Automatic,First,11.5,2993.0,235.0,5.0,,7.99,BMW
Kochi,2013,105072,Diesel,Manual,First,14.24,2755.0,174.5,7.0,36.69,13.28,Toyota
Pune,2012,80000,Petrol,Automatic,First,11.25,1995.0,150.0,5.0,,9.5,BMW
Kochi,2019,3102,Diesel,Manual,First,20.37,1461.0,108.45,5.0,,14.01,Renault
Coimbatore,2016,14656,Diesel,Manual,First,24.4,1120.0,71.0,5.0,,6.99,Hyundai
Hyderabad,2010,105000,Diesel,Automatic,Second,13.2,1995.0,170.0,5.0,,11.0,BMW
Hyderabad,2008,61000,Petrol,Automatic,Second,10.8,2497.0,215.0,5.0,,11.0,BMW
Pune,2010,85046,Petrol,Manual,Second,18.06,1198.0,75.0,5.0,,2.3,Nissan
Delhi,2014,48000,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,,26.5,Jaguar
Bangalore,2011,55000,Diesel,Automatic,First,10.2,4367.0,308.0,7.0,,67.0,Land
Mumbai,2017,4000,Petrol,Automatic,First,16.0,1368.0,160.0,5.0,23.68,17.75,Jeep
Delhi,2010,94000,Petrol,Automatic,Second,10.1,2354.0,152.0,5.0,,4.8,Honda
Coimbatore,2013,61110,Petrol,Manual,First,18.6,1197.0,85.8,5.0,,4.57,Maruti
Chennai,2016,80000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,,3.5,Hyundai
Kochi,2015,43190,Diesel,Manual,First,19.01,1461.0,108.5,5.0,,7.61,Nissan
Hyderabad,2015,45000,Diesel,Automatic,First,18.25,1968.0,187.74,5.0,55.61,25.0,Audi
Coimbatore,2016,44178,Petrol,Manual,First,18.9,1197.0,82.0,5.0,,5.88,Hyundai
Hyderabad,2015,84415,Diesel,Manual,First,12.99,2494.0,100.6,8.0,,13.5,Toyota
Kolkata,2015,35000,Petrol,Manual,First,18.5,1197.0,80.0,5.0,,4.6,Hyundai
Kolkata,2013,44000,Diesel,Manual,First,22.77,1498.0,98.59,5.0,,4.9,Ford
Hyderabad,2012,67635,Petrol,Manual,First,17.0,1497.0,118.0,5.0,,5.25,Honda
Coimbatore,2018,18385,Petrol,Automatic,First,14.8,1497.0,121.36,5.0,14.1,12.41,Ford
Kolkata,2014,35000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,,3.8,Volkswagen
Mumbai,2010,49000,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,,8.95,Mercedes-Benz
Hyderabad,2013,69000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,,7.2,Ford
Hyderabad,2017,23228,Petrol,Manual,First,14.4,1396.0,65.0,5.0,,4.5,Tata
Delhi,2014,68462,Diesel,Manual,First,26.59,1248.0,74.0,5.0,,4.15,Maruti
Coimbatore,2016,74611,Diesel,Manual,First,25.1,1248.0,88.5,5.0,13.26,7.94,Maruti
Pune,2014,90000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,,7.25,Renault
Delhi,2016,22000,Petrol,Manual,First,18.9,998.0,67.1,5.0,,3.7,Maruti
Hyderabad,2010,58163,Petrol,Manual,First,0.0,1086.0,62.0,5.0,,2.45,Hyundai
Chennai,2011,109500,Diesel,Manual,Third,25.44,936.0,57.6,5.0,,1.5,Chevrolet
Delhi,2017,13363,Diesel,Manual,First,16.0,1997.0,140.0,7.0,,12.0,Mahindra
Delhi,2012,51000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,,2.2,Hyundai
Hyderabad,2007,103000,Diesel,Manual,First,13.93,2179.0,138.0,7.0,,3.6,Tata
Kolkata,2009,43002,Petrol,Manual,First,20.36,1197.0,78.9,5.0,,1.92,Hyundai
Bangalore,2016,108000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,28.05,20.5,Toyota
Jaipur,2010,82407,Diesel,Manual,First,17.5,1896.0,106.0,5.0,,4.25,Skoda
Kolkata,2013,29000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,,3.2,Hyundai
Pune,2012,225000,Diesel,Manual,Second,23.59,1364.0,,5.0,,2.6,Toyota
Kolkata,2014,45000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,,3.85,Maruti
Kochi,2010,93401,Diesel,Manual,First,23.0,1396.0,90.0,5.0,,3.48,Hyundai
Hyderabad,2017,95802,Diesel,Manual,Second,25.83,1498.0,99.0,5.0,,4.55,Ford
Pune,2016,130000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,11.27,7.0,Maruti
Ahmedabad,2013,67443,Diesel,Manual,First,20.77,1248.0,88.8,7.0,,5.75,Maruti
Kochi,2016,47681,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,,8.73,Honda
Hyderabad,2009,35000,Petrol,Manual,First,19.7,796.0,46.3,5.0,,1.7,Maruti
Hyderabad,2016,68000,Diesel,Automatic,First,10.91,3198.0,197.0,7.0,,29.5,Ford
Kochi,2019,34688,Diesel,Manual,First,24.3,1248.0,88.5,5.0,11.2,10.49,Maruti
Kolkata,2015,10512,Petrol,Automatic,First,8.6,2706.0,265.0,2.0,,64.0,Porsche
Pune,2016,58000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,,7.55,Maruti
Mumbai,2014,40000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,8.56,3.95,Tata
Bangalore,2010,61000,Petrol,Manual,Fourth & Above,17.0,1197.0,80.0,5.0,,3.25,Hyundai
Mumbai,2009,86000,Diesel,Manual,First,19.4,1422.0,70.0,5.0,,2.75,Skoda
Kolkata,2015,45000,Diesel,Manual,First,21.43,1364.0,87.2,5.0,,7.35,Toyota
Ahmedabad,2017,55000,Petrol,Manual,First,17.0,1198.0,73.75,5.0,,4.7,Volkswagen
Kochi,2016,36855,Petrol,Manual,Second,15.29,1591.0,121.3,5.0,,8.77,Hyundai
Kochi,2013,46821,Petrol,Manual,First,20.36,1197.0,78.9,5.0,,3.42,Hyundai
Kolkata,2015,120000,Petrol,Manual,First,18.6,1199.0,76.8,5.0,,2.5,Chevrolet
Kolkata,2012,29000,Diesel,Automatic,First,14.74,2993.0,270.9,5.0,,20.0,Jaguar
Mumbai,2014,40000,Petrol,Manual,First,13.24,1598.0,102.5,5.0,,5.25,Nissan
Delhi,2013,60000,Diesel,Automatic,Second,15.73,1968.0,174.33,5.0,,14.5,Audi
Mumbai,2011,64984,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,,3.45,Hyundai
Pune,2015,73204,Petrol,Automatic,First,24.07,998.0,67.1,5.0,,3.3,Maruti
Bangalore,2014,50000,Diesel,Automatic,First,11.33,4134.0,335.2,7.0,,51.0,Audi
Kolkata,2017,35000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.46,6.5,Maruti
Hyderabad,2013,17729,Petrol,Manual,First,21.1,814.0,55.2,5.0,,3.65,Hyundai
Chennai,2012,97000,Diesel,Manual,First,20.0,1497.0,115.0,5.0,12.79,7.25,Mahindra
Kochi,2014,89614,Diesel,Manual,First,22.0,1582.0,126.2,5.0,15.57,6.01,Hyundai
Kolkata,2015,14000,Petrol,Manual,First,18.9,998.0,67.1,5.0,,2.8,Maruti
Chennai,2012,50000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,,4.0,Hyundai
Delhi,2014,62505,Petrol,Manual,First,17.4,1497.0,117.3,5.0,,5.95,Honda
Chennai,2011,248000,Diesel,Manual,Second,12.8,2494.0,102.0,7.0,,9.2,Toyota
Pune,2012,94900,Diesel,Manual,First,16.8,1493.0,110.0,5.0,,5.35,Hyundai
Delhi,2017,55000,Diesel,Manual,First,17.6,2179.0,153.86,7.0,19.86,12.0,Tata
Coimbatore,2015,53735,Diesel,Automatic,Second,12.07,2967.0,241.4,7.0,,38.94,Audi
Coimbatore,2008,53934,Petrol,Manual,Second,18.9,998.0,67.1,5.0,,2.69,Maruti
Bangalore,2013,58500,Diesel,Automatic,Second,17.09,1995.0,218.0,5.0,,27.5,BMW
Kolkata,2014,48000,Petrol,Manual,First,18.0,1198.0,86.7,5.0,,2.75,Honda
Mumbai,2016,24000,Petrol,Manual,First,24.7,796.0,47.3,5.0,,2.8,Maruti
Mumbai,2016,52001,Petrol,Manual,First,17.01,1591.0,121.3,5.0,,6.45,Hyundai
Coimbatore,2018,9565,Petrol,Manual,First,23.84,1199.0,84.0,5.0,6.59,5.88,Tata
Pune,2013,32953,Petrol,Manual,First,18.6,1197.0,85.8,5.0,,4.65,Maruti
Jaipur,2014,18000,Petrol,Manual,First,21.1,814.0,55.2,5.0,,2.5,Hyundai
Kochi,2018,20446,Petrol,Automatic,First,12.6,1950.0,191.34,5.0,86.97,51.35,Mercedes-Benz
Hyderabad,2016,33016,Diesel,Manual,First,22.54,1396.0,88.73,5.0,,6.85,Hyundai
Chennai,2012,48000,Diesel,Manual,First,23.59,1364.0,67.05,5.0,,5.25,Toyota
Coimbatore,2014,72022,Diesel,Manual,First,21.43,1364.0,87.2,5.0,,9.23,Toyota
Ahmedabad,2014,34000,Diesel,Automatic,First,20.7,1496.0,113.98,5.0,42.12,22.0,Mini
Hyderabad,2014,69000,Diesel,Manual,First,20.14,1498.0,88.8,5.0,,5.19,Volkswagen
Pune,2009,108000,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,,4.35,Skoda
Hyderabad,2013,34700,Diesel,Automatic,First,10.0,2148.0,170.0,5.0,,24.5,Mercedes-Benz
Pune,2015,79000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,,5.75,Maruti
Kochi,2016,58197,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,,9.19,Honda
Pune,2008,66000,Petrol,Automatic,Second,8.45,2979.0,321.0,5.0,,10.75,BMW
Bangalore,2009,60000,Petrol,Automatic,First,19.2,1197.0,80.0,5.0,,2.99,Hyundai
Kolkata,2014,57000,Diesel,Manual,First,26.59,1248.0,74.0,5.0,,3.89,Maruti
Coimbatore,2018,45555,Diesel,Manual,First,26.0,1498.0,98.6,5.0,,11.73,Honda
Coimbatore,2016,55137,Petrol,Manual,First,14.0,796.0,35.0,5.0,,3.11,Maruti
Jaipur,2014,93325,Diesel,Manual,Second,17.2,1968.0,138.1,5.0,,14.45,Skoda
Ahmedabad,2018,38000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,,8.7,Maruti
Kochi,2016,57738,Diesel,Manual,First,24.0,1120.0,70.0,5.0,,5.04,Hyundai
Jaipur,2017,38282,Diesel,Manual,First,28.09,1248.0,88.5,5.0,,8.5,Maruti
Delhi,2014,64000,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,,15.65,Mercedes-Benz
Mumbai,2015,32000,Diesel,Manual,First,20.5,1248.0,91.72,5.0,,5.65,Fiat
Bangalore,2010,83000,Petrol,Automatic,First,10.93,2497.0,204.0,5.0,,16.5,Mercedes-Benz
Ahmedabad,2011,76000,CNG,Manual,First,26.3,998.0,67.1,5.0,,2.0,Maruti
Pune,2012,67200,Petrol,Manual,First,15.04,1598.0,103.6,5.0,,3.9,Volkswagen
Jaipur,2013,62655,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,,14.5,BMW
Bangalore,2015,16900,Diesel,Automatic,First,14.69,2993.0,258.0,5.0,,44.0,BMW
Delhi,2017,8471,Petrol,Manual,First,18.9,1197.0,81.86,5.0,6.54,5.0,Hyundai
Hyderabad,2016,69000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,26.56,19.75,Toyota
Coimbatore,2017,30090,Diesel,Automatic,First,19.6,1461.0,108.45,5.0,15.05,11.44,Renault
Chennai,2011,120000,Diesel,Manual,First,18.0,1248.0,75.0,5.0,,1.75,Tata
Bangalore,2013,23000,Diesel,Manual,First,17.8,1248.0,,5.0,,5.6,Maruti
Kochi,2016,35939,Petrol,Manual,First,12.3,1796.0,185.0,5.0,,30.42,Mercedes-Benz
Coimbatore,2013,116694,Diesel,Manual,First,15.1,2179.0,140.0,7.0,,9.57,Mahindra
Mumbai,2016,40448,Diesel,Manual,First,15.96,2523.0,62.1,7.0,11.01,3.5,Mahindra
Coimbatore,2018,64456,Diesel,Manual,First,24.3,1248.0,88.5,5.0,11.0,10.46,Maruti
Pune,2014,52782,Diesel,Manual,First,20.5,1248.0,91.72,5.0,,4.85,Fiat
Kochi,2016,51672,Petrol,Manual,First,19.5,1199.0,88.76,5.0,7.55,5.68,Honda
Mumbai,2015,56073,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,,13.25,Skoda
Bangalore,2011,65000,Diesel,Automatic,First,14.74,2993.0,270.9,5.0,,16.0,Jaguar
Chennai,2013,79000,Petrol,Manual,First,18.9,998.0,67.1,5.0,,3.0,Maruti
Kolkata,2007,43206,Petrol,Manual,First,17.0,1086.0,,5.0,,0.99,Hyundai
Mumbai,2010,70200,Petrol,Automatic,First,14.53,1798.0,138.1,5.0,,5.0,Toyota
Delhi,2016,42000,Petrol,Manual,First,16.1,1197.0,85.0,5.0,,4.75,Maruti
Bangalore,2014,62000,Petrol,Manual,First,16.47,1198.0,74.0,5.0,,5.35,Volkswagen
Hyderabad,2017,20000,Petrol,Manual,First,18.9,1197.0,81.86,5.0,7.82,5.98,Hyundai
Chennai,2011,80000,Diesel,Manual,Third,21.5,1248.0,88.8,5.0,,3.5,Maruti
Kochi,2018,50234,Petrol,Manual,First,18.9,1197.0,81.86,5.0,6.32,4.77,Hyundai
Delhi,2016,50003,Petrol,Manual,First,21.4,1197.0,83.1,5.0,,5.45,Maruti
Ahmedabad,2018,1000,Petrol,Automatic,First,20.3,1199.0,84.0,5.0,,6.85,Tata
Jaipur,2016,54897,Diesel,Automatic,First,26.59,1248.0,74.0,5.0,,7.3,Maruti
Pune,2007,108995,Petrol,Manual,First,15.3,1193.0,65.3,5.0,,1.25,Tata
Chennai,2015,73000,Diesel,Manual,First,22.7,1598.0,118.0,5.0,,8.25,Maruti
Ahmedabad,2008,65000,Petrol,Manual,First,16.1,1298.0,88.2,5.0,,2.71,Maruti
Kolkata,2016,32000,Petrol,Manual,First,19.1,1197.0,82.0,5.0,,3.6,Hyundai
Ahmedabad,2010,65000,Petrol,Manual,First,18.5,1197.0,80.0,5.0,,3.0,Hyundai
Hyderabad,2016,21600,Petrol,Automatic,First,23.1,998.0,67.04,5.0,,4.65,Maruti
Mumbai,2010,39000,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,,9.5,Mercedes-Benz
Mumbai,2011,58075,Petrol,Manual,First,17.5,1298.0,85.8,5.0,,2.95,Maruti
Mumbai,2011,58000,Petrol,Manual,First,15.04,1598.0,103.6,5.0,,3.0,Volkswagen
Hyderabad,2015,58000,Diesel,Manual,First,25.2,1248.0,74.0,5.0,,5.95,Maruti
Delhi,2008,89000,Petrol,Automatic,First,14.53,1798.0,138.1,5.0,,4.0,Toyota
Delhi,2008,72000,Petrol,Manual,First,13.5,1799.0,130.0,5.0,,2.5,Honda
Kolkata,2017,1800,Petrol,Automatic,First,16.05,1499.0,110.4,5.0,,11.37,Ford
Pune,2010,172050,Diesel,Manual,Second,19.0,1248.0,93.0,5.0,,2.25,Fiat
Jaipur,2013,46230,Petrol,Manual,First,19.81,1086.0,68.05,5.0,,3.1,Hyundai
Kochi,2014,86925,Diesel,Automatic,First,11.2,2400.0,215.0,5.0,,17.18,Volvo
Jaipur,2018,5000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,,6.5,Hyundai
Ahmedabad,2014,66000,Diesel,Manual,First,26.0,1498.0,98.6,5.0,,5.7,Honda
Ahmedabad,2013,119000,Diesel,Manual,First,12.99,2494.0,100.0,8.0,,8.0,Toyota
Chennai,2016,45000,Petrol,Manual,First,25.17,799.0,53.3,5.0,,2.6,Renault
Hyderabad,2009,66149,Petrol,Manual,First,19.0,998.0,66.1,5.0,,2.45,Maruti
Kochi,2014,42070,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,,11.57,Mercedes-Benz
Kolkata,2012,35503,Petrol,Manual,First,18.9,998.0,67.1,5.0,,2.3,Maruti
Jaipur,2016,41460,Diesel,Manual,First,25.2,1248.0,74.0,5.0,,5.9,Maruti
Mumbai,2015,40600,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,15.14,7.2,Hyundai
Ahmedabad,2013,87000,Diesel,Automatic,First,22.0,1582.0,126.2,5.0,15.72,5.9,Hyundai
Chennai,2014,30000,Petrol,Manual,Second,16.8,1497.0,116.3,5.0,,6.0,Honda
Kolkata,2010,27089,Petrol,Manual,First,16.0,1086.0,66.7,5.0,,1.95,Hyundai
Coimbatore,2016,53702,Diesel,Manual,First,23.59,1364.0,67.04,5.0,,6.55,Toyota
Hyderabad,2015,51000,Diesel,Automatic,First,27.03,1969.0,190.0,5.0,45.67,25.0,Volvo
Kolkata,2012,36542,Diesel,Manual,First,20.0,1399.0,68.05,5.0,,2.65,Ford
Mumbai,2017,15000,Diesel,Automatic,First,13.0,2987.0,265.0,5.0,,69.5,Mercedes-Benz
Chennai,2012,65000,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,54.7,14.0,BMW
Pune,2014,32000,Petrol,Manual,Second,22.74,796.0,47.3,5.0,,2.1,Maruti
Hyderabad,2017,24393,Diesel,Manual,First,13.68,2393.0,147.8,7.0,22.87,20.4,Toyota
Hyderabad,2019,1000,Petrol,Manual,First,18.78,999.0,75.0,5.0,6.74,5.68,Volkswagen
Mumbai,2014,28238,Petrol,Manual,First,13.24,1598.0,102.5,5.0,,5.55,Nissan
Mumbai,2013,59000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,33.09,12.75,Mitsubishi
Mumbai,2012,92000,Petrol,Manual,Second,14.8,1799.0,130.2,5.0,,3.35,Honda
Kolkata,2013,56840,Petrol,Manual,First,22.74,796.0,47.3,5.0,,1.55,Maruti
Coimbatore,2013,62746,Diesel,Manual,Second,20.54,1598.0,103.6,5.0,,5.9,Volkswagen
Hyderabad,2012,96000,Diesel,Automatic,First,12.35,2179.0,187.74,5.0,,18.98,Land
Mumbai,2014,24000,Petrol,Manual,First,13.7,1997.0,153.86,5.0,,11.51,Honda
Mumbai,2016,54000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,,7.75,Maruti
Chennai,2016,90000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,,13.9,Toyota
Kolkata,2010,40000,Petrol,Manual,First,15.0,1368.0,90.0,5.0,,1.35,Tata
Mumbai,2015,65938,Diesel,Automatic,Second,12.07,2967.0,241.4,7.0,,38.0,Audi
Mumbai,2017,16100,Petrol,Automatic,First,17.1,1591.0,121.4,5.0,,11.6,Hyundai
Hyderabad,2017,3600,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,,12.25,Volkswagen
Jaipur,2011,52000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,,3.8,Honda
Mumbai,2014,54000,Diesel,Manual,First,20.0,1399.0,68.05,5.0,,3.25,Ford
Mumbai,2016,15399,Petrol,Manual,First,18.7,1199.0,88.7,5.0,,6.4,Honda
Bangalore,2012,75000,Petrol,Manual,Second,16.47,1198.0,73.9,5.0,,3.95,Volkswagen
Delhi,2010,76752,Petrol,Manual,First,17.4,1497.0,117.3,5.0,,3.57,Honda
Mumbai,2005,56000,Petrol,Manual,Second,17.7,1497.0,78.0,5.0,,1.25,Honda
Pune,2015,70000,CNG,Manual,First,26.2,998.0,58.2,5.0,,3.65,Maruti
Kolkata,2013,46125,Petrol,Automatic,Second,12.0,2354.0,187.4,5.0,,12.5,Honda
Ahmedabad,2014,35000,Diesel,Automatic,Second,18.12,1995.0,190.0,5.0,,23.0,BMW
Chennai,2003,80000,Diesel,Manual,Third,12.8,1489.0,35.5,5.0,,1.35,Ambassador
Coimbatore,2012,62729,Diesel,Manual,First,12.05,2179.0,120.0,8.0,,6.32,Mahindra
Kolkata,2012,34000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,,3.4,Volkswagen
Jaipur,1999,70000,Petrol,Manual,Second,17.3,993.0,60.0,5.0,,0.77,Maruti
Jaipur,2009,32000,Petrol,Manual,First,16.1,796.0,37.0,4.0,,0.9,Maruti
Delhi,2017,21000,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,23.25,18.0,Toyota
Pune,2013,49000,Petrol,Automatic,First,14.59,1997.0,245.0,5.0,,19.0,BMW
Chennai,2007,40000,Petrol,Manual,Third,13.8,1299.0,70.0,5.0,,1.1,Ford
Pune,2012,78000,Petrol,Manual,Second,18.6,1199.0,79.4,5.0,,2.0,Chevrolet
Ahmedabad,2012,52000,Diesel,Manual,First,21.43,1364.0,86.79,5.0,19.27,6.5,Toyota
Bangalore,2014,65213,Diesel,Manual,First,16.0,2179.0,140.0,7.0,,9.45,Mahindra
Mumbai,2016,170000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,,4.0,Hyundai
Kochi,2017,36884,Diesel,Automatic,First,13.0,2143.0,204.0,5.0,,32.25,Mercedes-Benz
Pune,2009,62500,Petrol,Manual,First,20.36,1197.0,78.9,5.0,,2.1,Hyundai
Mumbai,2015,68000,Petrol,Automatic,Second,14.28,1798.0,138.03,5.0,,9.75,Toyota
Kolkata,2014,40748,Petrol,Manual,First,14.53,1798.0,138.0,5.0,,6.3,Toyota
Hyderabad,2013,60000,Diesel,Automatic,First,17.32,1968.0,184.0,5.0,,21.0,Audi
Mumbai,2014,12400,Diesel,Manual,First,21.9,1396.0,88.8,5.0,,4.65,Hyundai
Mumbai,2013,87000,Diesel,Automatic,Second,19.27,2143.0,167.62,5.0,,17.0,Mercedes-Benz
Pune,2013,20248,Diesel,Manual,First,21.1,1248.0,73.9,5.0,,4.35,Maruti
Coimbatore,2017,52383,Diesel,Manual,First,19.67,1582.0,126.2,5.0,,14.82,Hyundai
Delhi,2018,1000,Diesel,Automatic,First,13.6,1999.0,177.0,5.0,52.77,40.0,Jaguar
Chennai,2016,85000,Diesel,Manual,First,14.95,2489.0,93.7,7.0,11.67,6.15,Mahindra
Ahmedabad,2014,47000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,,11.25,Toyota
Pune,2018,17585,Petrol,Automatic,First,19.16,2494.0,157.7,5.0,,32.0,Toyota
Coimbatore,2018,32496,Diesel,Automatic,First,13.22,2967.0,241.4,5.0,,45.62,Audi
Kochi,2017,34613,Diesel,Manual,First,28.4,1248.0,74.0,5.0,7.92,6.24,Maruti
Chennai,2015,153000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,,4.8,Maruti
Chennai,2014,54000,Petrol,Manual,Second,16.1,1197.0,85.0,5.0,,4.5,Maruti
Kochi,2015,16900,Petrol,Manual,First,20.36,1197.0,78.9,5.0,,3.87,Hyundai
Delhi,2013,62334,Petrol,Manual,First,20.36,1197.0,78.9,5.0,,2.75,Hyundai
Kochi,2018,23714,Petrol,Manual,First,21.4,1197.0,83.1,5.0,,6.57,Maruti
Jaipur,2010,52325,Petrol,Manual,First,16.36,1495.0,93.7,5.0,,2.0,Hyundai
Ahmedabad,2012,50000,Petrol,Manual,First,19.4,1198.0,86.8,5.0,,3.65,Honda
Hyderabad,2016,55746,Diesel,Manual,First,22.9,1248.0,74.0,5.0,,6.95,Maruti
Bangalore,2014,54000,Petrol,Manual,First,20.14,1197.0,81.86,5.0,7.85,5.5,Hyundai
Kolkata,2013,43000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,,7.0,Mahindra
Delhi,2014,40000,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,,24.0,Mercedes-Benz
Bangalore,2010,125000,Diesel,Automatic,Second,0.0,2179.0,115.0,5.0,,11.0,Land
Bangalore,2016,51944,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,,32.5,Mercedes-Benz
Kochi,2015,46950,Diesel,Manual,First,21.27,1396.0,88.76,5.0,,6.45,Hyundai
Mumbai,2015,23000,Diesel,Automatic,First,19.3,1968.0,141.0,5.0,,15.75,Skoda
Mumbai,2014,54546,Petrol,Manual,First,17.0,1497.0,118.0,5.0,,5.5,Honda
Kochi,2015,51535,Diesel,Automatic,First,12.55,2982.0,168.5,7.0,,19.03,Toyota
Kolkata,2013,45000,Diesel,Automatic,First,17.32,1968.0,184.0,5.0,,15.25,Audi
Hyderabad,2012,46004,Petrol,Manual,First,20.92,998.0,67.1,5.0,,2.4,Maruti
Chennai,2011,124000,Diesel,Manual,First,23.03,1396.0,69.0,5.0,,2.3,Tata
Kochi,2014,77395,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,,14.35,Audi
Mumbai,2018,10600,CNG,Manual,First,33.44,796.0,40.3,4.0,,3.5,Maruti
Kochi,2018,22974,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,15.55,11.97,Honda
Jaipur,2009,89000,Petrol,Manual,Second,0.0,999.0,,5.0,,1.6,Hyundai
Ahmedabad,2015,65012,Diesel,Manual,First,14.24,2755.0,174.5,7.0,32.45,18.9,Toyota
Ahmedabad,2017,17125,Petrol,Manual,First,18.9,1197.0,82.0,5.0,,5.4,Hyundai
Hyderabad,2015,90413,Petrol,Manual,First,15.1,1196.0,73.0,7.0,4.83,2.95,Maruti
Bangalore,2013,37000,Petrol,Manual,First,16.47,1198.0,73.9,5.0,,5.1,Volkswagen
Jaipur,2006,65000,Petrol,Manual,First,18.9,1061.0,67.0,5.0,,1.5,Maruti
Bangalore,2011,66000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,,4.9,Honda
Mumbai,2010,86000,Petrol,Manual,First,14.8,1799.0,130.2,5.0,,2.9,Honda
Pune,2005,98437,Petrol,Manual,First,13.0,1493.0,100.0,5.0,,1.15,Honda
Kolkata,2010,18000,Petrol,Manual,First,18.5,1197.0,80.0,5.0,,2.3,Hyundai
Kochi,2018,35070,Diesel,Manual,First,24.0,1120.0,70.0,5.0,,5.99,Hyundai
Pune,2011,42000,Petrol,Automatic,Third,14.4,1598.0,103.6,5.0,,3.4,Volkswagen
